问题,答案,选项
1 、下列有关使用漏电保护器的说法，哪种正确?,A,A、漏电保护器既可用来保护人身安全，还可用来对低压系统或设备的对地绝缘状况起到监督作用。,B、漏电保护器安装点以后的线路不可对地绝缘。,C、漏电保护器在日常使用中不可在通电状态下按动实验按钮来检验其是否灵敏可靠。
94 、HCN阻碍生物氧化过程，使细胞不能利用氧，造成内窒息,错误,A、正确,B、错误
95 、对于含氟废液可以进行如下处理：加入石灰使生成氟化钙沉淀,正确,A、正确,B、错误
96 、实验室灭火的方法要针对起因选用合适的方法。一般小火可用湿布、石棉布或沙子覆盖燃烧物即可灭火。,正确,A、正确,B、错误
97 、要加强实验室排污处理装置（系统）的建设和管理，做到达标排放。实验废弃物不得倒入自来水下水道或普通垃圾箱等处。,正确,A、正确,B、错误
98 、回收不便时可以将实验室废弃物掩埋处理,错误,A、正确,B、错误
99 、做实验时要爱护实验设备，同时注意自身的安全，避免发生事故。,正确,A、正确,B、错误
100 、安装在有爆炸危险场所的灯具应该是防爆型的。,正确,A、正确,B、错误
101 、安装较大工件时，应在机床床身上放置木制垫板。,正确,A、正确,B、错误
102 、所有药品都应有明显标签，标明药品名称、质量规格及来货日期；最好还有危险性质的明显标志。,正确,A、正确,B、错误
103 、消防工作的方针是：“预防为主，以人为本”，实行消防安全责任制。,错误,A、正确,B、错误
104 、铁锹不用时插牢，使用过程中注意不要伤到其他同学。,正确,A、正确,B、错误
105 、各学院每季度组织有关人员对实验室进行安全与卫生管理的例行检查，记录检查情况，提出存在的问题并限时整改。每次检查结束后须将检查结果形成报告，上报实验室处。,正确,A、正确,B、错误
106 、血压升高，目光无神，情绪烦躁，面色苍白等，如果是因锻炼造成的，则都是运动不足的征兆。,错误,A、正确,B、错误
107 、为方便进出专人管理的设备房间，可自行配制钥匙。,错误,A、正确,B、错误
108 、实验中溅入口中而尚未下咽的毒物，应立即吐出，并用大量水冲洗口腔。,正确,A、正确,B、错误
109 、废弃的利器(包括针头、小刀、金属和玻璃等)应直接弃置于耐扎容器内。,正确,A、正确,B、错误
110 、实验室内可以使用电炉、微波炉、电磁炉、电饭煲等取暖、做饭。,错误,A、正确,B、错误
111 、装有易燃液体的器皿不能置于日光下,正确,A、正确,B、错误
112 、磨砂接口玻璃器具已标准化且制作良好，一般不需涂抹凡士林等油脂,正确,A、正确,B、错误
113 、实验进行前可以不了解实验仪器的使用说明及注意事项，实验过程中要严格按照操作规程进行操作。,错误,A、正确,B、错误
114 、在化学药品管理时，强氧化剂和强还原剂必须分开存放，使用时轻拿轻放，远离热源。,正确,A、正确,B、错误
115 、为避免皮肤受到化学品伤害，可通过穿防毒衣，戴防护手套，穿雨衣、雨鞋等方法进行防护,正确,A、正确,B、错误
116 、眼部碱灼伤时，应立即用大量清水或生理盐水进行彻底冲洗，冲洗时必须将上下眼睑拉开，水不要流经未伤的眼睛，不可直接冲击眼球，然后可用2%～3%硼酸溶液进一步冲洗,正确,A、正确,B、错误
117 、移液器在吸取不同液体时，可以不更换移液器吸头。,错误,A、正确,B、错误
118 、用水时要禁止跑、冒、滴、漏现象存在。,正确,A、正确,B、错误
119 、取用后剩余的化学试剂，不可放回原试剂瓶中。,正确,A、正确,B、错误
120 、接线时，要用合格的电源线，电源插头、插座。电源线接头要用绝缘胶布包好。,正确,A、正确,B、错误
121 、易燃、易爆气体和助燃气体（氧气等）的钢瓶不得混放在一起，并应远离热源和火源，保持通风。,正确,A、正确,B、错误
122 、在一经合闸即可送电到工作地点的开关和刀闸的操作把手上，均应悬挂“禁止合闸，有人工作”的标示牌。,正确,A、正确,B、错误
123 、可以用普通的冰箱储藏易燃易爆的试剂,错误,A、正确,B、错误
124 、锉削时，可以用嘴吹掉铁屑。,错误,A、正确,B、错误
125 、使用大功率的实验设备前，要检查线路是否接地。,正确,A、正确,B、错误
126 、不准在车间打闹，不准随意攀登吊车、墙梯或者其它设备，但可以在吊车吊运物体运行线上行走或停留。,错误,A、正确,B、错误
127 、当实验室有人发生触电事故时，应马上直接将其拉开远离电源。,错误,A、正确,B、错误
128 、高校实验室发生安全事故的主要原因有：操作不慎、设备老化、自然灾害、网络攻击和监管不力。,正确,A、正确,B、错误
129 、丙酮、氢氧化钠、氨等具有低毒性,正确,A、正确,B、错误
130 、参照国际原子能机构的有关规定，国务院环境保护主管部门按照放射源对人体健康和环境的潜在危害程度，从高到低将放射源分为Ⅰ、Ⅱ、Ⅲ、Ⅳ、Ⅴ类,正确,A、正确,B、错误
131 、在距离线路或变压器较近，有可能误攀登的建筑物上，必须挂有“禁止攀登，有电危险”的标示牌。,正确,A、正确,B、错误
132 、实验动物从业人员和动物实验人员，如患有乙肝等慢性传染病，不得接触实验动物，从事相关工作。,正确,A、正确,B、错误
133 、煤气用后一定关好，如发现实验室内有煤气味应立即开窗、自然通风，并且此时禁止使用明火。,正确,A、正确,B、错误
134 、冰箱内禁止存放危险化学物品，如果确需存放，则必须注意容器绝对密封，严防泄漏,正确,A、正确,B、错误
135 、四柱液压机外露滑动表面要保持清洁，工作前喷注机油。,正确,A、正确,B、错误
136 、可以在敞口容器中存放易爆物质,错误,A、正确,B、错误
137 、生物污染的液体在排放到生活污水管道之前，必须进行污染清除处理。,正确,A、正确,B、错误
138 、实验室冰箱内不得混放容易产生放热反应的化学品。,正确,A、正确,B、错误
139 、走廊比较通风时，可存放危险化学品,错误,A、正确,B、错误
140 、现场触电急救可以打强心针。,错误,A、正确,B、错误
141 、锻造过程中，踩踏杆时，脚跟可悬空进行操作。,错误,A、正确,B、错误
142 、对于氢氧化钠、氨水等废液可以进行如下处理：用6mol/L盐酸水溶液中和，再用大量水冲洗,正确,A、正确,B、错误
143 、实验室安全事故的表现形式主要有：火灾、爆炸、中毒、灼伤、病原微生物感染、辐照和机电伤人等。,正确,A、正确,B、错误
144 、无论是否涉及病原微生物的实验动物尸体，都要进行无害化处理及冷冻保存，然后送具备相关资质的机构处理。,正确,A、正确,B、错误
145 、实验大楼出现火情时千万不要乘电梯，因为电梯可能因停电或失控，同时又因“烟囱效应”，电梯井常常成为浓烟的流通道。,正确,A、正确,B、错误
146 、当可燃烧液体呈流淌状燃烧时，应将灭火剂的喷流对准火焰根部由近而远并左右扫射，向前快速推进，直至火焰扑灭,正确,A、正确,B、错误
147 、节假日或假期在实验室做实验必须经导师批准，并报院系备案。,正确,A、正确,B、错误
148 、发生意外后先对伤员进行必要的止血、包扎、固定等处理，然后尽可能用担架搬运，搬运时病人始终处脚朝前，头朝后，以便于随时观察伤者情况变化，及时实施急救处理。,正确,A、正确,B、错误
149 、在易燃、易爆、易灼烧及有静电发生的场所，可以使用化纤防护用品。,错误,A、正确,B、错误
150 、静电可以引起爆炸、电气绝缘和电子元器件击穿。,正确,A、正确,B、错误
151 、蒸气、烟雾而引起呼吸系统中毒时，应立即将病人移至室外空气新鲜的地方，解开衣领，使之温暖和安静，切勿随便进行人工呼吸。,正确,A、正确,B、错误
152 、实验室一旦发生起火，不要惊慌失措，应利用消防器材，采取有效措施控制、扑灭火灾。,正确,A、正确,B、错误
153 、使用过的实验服脱下后，不得与日常衣服放在一起，也不得放在洁净区域。,正确,A、正确,B、错误
154 、操作冲床进行冲压作业时，可以在冲模之间伸手取放工件。,错误,A、正确,B、错误
155 、进行化学类实验，应带防护镜,正确,A、正确,B、错误
156 、消防队在扑救火灾时，有权根据灭火的需要，拆除或者破损临近火灾现场的建筑。,正确,A、正确,B、错误
157 、易燃、易挥发的溶剂不得在敞口容器中加热，应选用水浴加热器，不得用明火直接加热,正确,A、正确,B、错误
158 、干燥箱（烘箱）可以用于物品的干燥、干热灭菌，恒温箱用于微生物培养、生物材料培养。,正确,A、正确,B、错误
159 、冷却灭火法是将可燃物冷却到其燃点以下，停止燃烧反应。,正确,A、正确,B、错误
160 、体育锻炼的负荷量无论是强度、时间还是密度都要因人、因时而异，应根据自身的实际情况安排运动负荷,正确,A、正确,B、错误
161 、心脏骤停者应立即行胸外心脏按摩术，同时拨打120惊厥、休克、深度青紫等，应立即送医院治疗。,正确,A、正确,B、错误
162 、实验室内可以使用电炉等取暖、做饭。,错误,A、正确,B、错误
163 、化学泡沫灭火器可扑救一般油质品、油脂等的火灾，但不能扑救醇、酯、醚、酮等引起的火灾和带电设备的火灾,正确,A、正确,B、错误
164 、一氧化碳泄漏，应先施行通风，以驱散一氧化碳气体，并切断一氧化碳泻漏源。,正确,A、正确,B、错误
165 、化学废液要用适当的容器盛装存放、定点保存，不需要分类收集,错误,A、正确,B、错误
166 、使用过的实验服脱下后，不得与日常衣服放在一起，也不得放在洁净区域。,正确,A、正确,B、错误
167 、在照明电路上可以不用安装漏电保护器。,错误,A、正确,B、错误
168 、无传染性疾病源类的一般动物废弃物在灭杀等处理后，标明废弃物的名称放入垃圾袋，送到学校指定的地点。,正确,A、正确,B、错误
169 、锻造实习中，不得随意拨动锻压设备的开关和操纵手柄等。,正确,A、正确,B、错误
170 、落实清理完毕后打扫现场时，砂箱、工具箱以及其它工具必须按照师傅的要求摆放整齐。,正确,A、正确,B、错误
171 、高压灭菌锅灭菌时，尽可能多地放置物品，以便更充分地利用灭菌空间。,错误,A、正确,B、错误
172 、短路会使短路处甚至整个电路过热，从而导致线路的绝缘层燃烧，引发火灾,正确,A、正确,B、错误
173 、不得使用过期、未经检验和不合格的气体钢瓶,正确,A、正确,B、错误
174 、灭火的四种方法是隔离法、窒息法、冷却法、化学抑制法。,正确,A、正确,B、错误
175 、在照明电路的零线上应该装设熔断器。,错误,A、正确,B、错误
176 、气体保护电弧焊的气体流量计装置是供气系统的安全装置。,错误,A、正确,B、错误
177 、发酵实验期间，要保持室内地面、桌面、操作台及其各种物品和器具的清洁卫生，同时也要保持发酵罐体外及其管路的卫生，做到无灰尘、无污垢。,正确,A、正确,B、错误
178 、误服强酸导致消化道烧灼痛，为防止进一步加重损伤，不能催吐，可口服牛奶、鸡蛋清、植物油等,正确,A、正确,B、错误
179 、一般有机物着火时可以用水扑救，因为有机物与水可以互溶。,错误,A、正确,B、错误
180 、在装置汞的仪器下面应放一搪瓷盘，以免不慎将汞洒在地上,正确,A、正确,B、错误
"181 、进行电气维修必须先关掉电源,在设置告知牌后，方可进行。",正确,A、正确,B、错误
182 、在冲压过程中，装卸工件时，脚可一直放在脚踏开关上。,错误,A、正确,B、错误
